cell_id,POS,unimorph
ARGNO3.ARGNOPL.ARGAC3.ARGACPL.present-subjunctive,V,ARGNO3P;ARGAC3P;SBJV;PRS
ARGNO2.ARGNOSG.ARGAC1.ARGACSG.future,V,ARGNO2S;ARGAC1S;IND;FUT
ARGNO3.ARGNOSG.ARGAC1.ARGACSG.future,V,ARGNO3S;ARGAC1S;IND;FUT
ARGNO2.ARGNOPL.ARGAC1.ARGACSG.future,V,ARGNO2P;ARGAC1S;IND;FUT
ARGNO3.ARGNOPL.ARGAC1.ARGACSG.future,V,ARGNO3P;ARGAC1S;IND;FUT
ARGNO1.ARGNOSG.ARGAC2.ARGACSG.future,V,ARGNO1S;ARGAC2S;IND;FUT
ARGNO3.ARGNOSG.ARGAC2.ARGACSG.future,V,ARGNO3S;ARGAC2S;IND;FUT
ARGNO1.ARGNOPL.ARGAC2.ARGACSG.future,V,ARGNO1P;ARGAC2S;IND;FUT
ARGNO3.ARGNOPL.ARGAC2.ARGACSG.future,V,ARGNO3P;ARGAC2S;IND;FUT
ARGNO1.ARGNOSG.ARGAC3.ARGACSG.future,V,ARGNO1S;ARGAC3S;IND;FUT
ARGNO2.ARGNOSG.ARGAC3.ARGACSG.future,V,ARGNO2S;ARGAC3S;IND;FUT
ARGNO3.ARGNOSG.ARGAC3.ARGACSG.future,V,ARGNO3S;ARGAC3S;IND;FUT
ARGNO1.ARGNOPL.ARGAC3.ARGACSG.future,V,ARGNO1P;ARGAC3S;IND;FUT
ARGNO2.ARGNOPL.ARGAC3.ARGACSG.future,V,ARGNO2P;ARGAC3S;IND;FUT
ARGNO3.ARGNOPL.ARGAC3.ARGACSG.future,V,ARGNO3P;ARGAC3S;IND;FUT
ARGNO2.ARGNOSG.ARGAC1.ARGACPL.future,V,ARGNO2S;ARGAC1P;IND;FUT
ARGNO3.ARGNOSG.ARGAC1.ARGACPL.future,V,ARGNO3S;ARGAC1P;IND;FUT
ARGNO2.ARGNOPL.ARGAC1.ARGACPL.future,V,ARGNO2P;ARGAC1P;IND;FUT
ARGNO3.ARGNOPL.ARGAC1.ARGACPL.future,V,ARGNO3P;ARGAC1P;IND;FUT
ARGNO1.ARGNOSG.ARGAC2.ARGACPL.future,V,ARGNO1S;ARGAC2P;IND;FUT
ARGNO3.ARGNOSG.ARGAC2.ARGACPL.future,V,ARGNO3S;ARGAC2P;IND;FUT
ARGNO1.ARGNOPL.ARGAC2.ARGACPL.future,V,ARGNO1P;ARGAC2P;IND;FUT
ARGNO3.ARGNOPL.ARGAC2.ARGACPL.future,V,ARGNO3P;ARGAC2P;IND;FUT
ARGNO1.ARGNOSG.ARGAC3.ARGACPL.future,V,ARGNO1S;ARGAC3P;IND;FUT
ARGNO2.ARGNOSG.ARGAC3.ARGACPL.future,V,ARGNO2S;ARGAC3P;IND;FUT
